reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
38.1.1,ΚΑΙ, ,Adposition,,,,,,,,
38.1.1,ἐγένετο, ,Verb,Third,Singular,Aorist,Indicative,Middle,,,
38.1.1,λόγος, ,Noun,,Singular,,,,Masculine,Nominative,
38.1.1,Κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
38.1.1,πρὸς, ,Adposition,,,,,,,,
38.1.1,Μειχαίαν, ,Noun,,Singular,,,,Feminine,Accusative,
38.1.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
38.1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
38.1.1,Μωρασθεὶ, ,Adverb,,,,,,,,
38.1.1,ἐν, ,Adposition,,,,,,,,
38.1.1,ἡμέραις, ,Noun,,Plural,,,,Feminine,Dative,
38.1.1,Ἰωαθὰμ, ,Noun,,Singular,,,,Masculine,Genitive,
38.1.1,καὶ, ,Adverb,,,,,,,,
38.1.1,Ἀχὰζ, ,Noun,,Singular,,,,Masculine,Genitive,
38.1.1,καὶ, ,Conjunction,,,,,,,,
38.1.1,Ἑζεκίου, ,Noun,,Singular,,,,Masculine,Genitive,
38.1.1,βασιλέων, ,Noun,,Plural,,,,Masculine,Genitive,
38.1.1,Ἰούδα,", ",Noun,,Singular,,,,Masculine,,
38.1.1,ὑπὲρ, ,Adposition,,,,,,,,
38.1.1,ὧν, ,Pronoun,,Plural,,,,Neuter,Genitive,
38.1.1,εἶδεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
38.1.1,περὶ, ,Adposition,,,,,,,,
38.1.1,Σαμαρείας, ,Noun,,Singular,,,,Feminine,Genitive,
38.1.1,καὶ, ,Conjunction,,,,,,,,
38.1.1,περὶ, ,Adposition,,,,,,,,
38.1.1,Ἰερουσαλήμ,. ,Noun,,Singular,,,,Feminine,Accusative,
38.1.1,Ἀκούσατε,", ",Verb,Second,Plural,Aorist,Imperative,Active,,,
38.1.2,λαοί,", ",Noun,,Plural,,,,Masculine,Vocative,
38.1.2,λόγους,", ",Noun,,Plural,,,,Masculine,Accusative,
38.1.2,καὶ, ,Conjunction,,,,,,,,
38.1.2,προσεχέτω, ,Verb,Third,Singular,Present,Imperative,Active,,,
38.1.2,ἡ, ,Article,,Singular,,,,Feminine,Nominative,
38.1.2,γῆ, ,Noun,,Singular,,,,Feminine,Nominative,
38.1.2,καὶ, ,Conjunction,,,,,,,,
38.1.2,πάντες, ,Adjective,,Plural,,,,Masculine,Nominative,
38.1.2,οἱ, ,Article,,Plural,,,,Masculine,Dative,
38.1.2,ἐν, ,Adposition,,,,,,,,
38.1.2,αὐτῇ,", ",Pronoun,,Singular,,,,Feminine,Dative,
38.1.2,καὶ, ,Conjunction,,,,,,,,
38.1.2,ἔσται, ,Verb,Third,Singular,Future,Indicative,Middle,,,
38.1.2,κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
38.1.2,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
38.1.2,ἐν, ,Adposition,,,,,,,,
38.1.2,ὑμῖν, ,Pronoun,Second,Plural,,,,Masculine,Dative,
38.1.2,εἰς, ,Adposition,,,,,,,,
