reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
39.1.1,ΛΟΓΟΣ, ,Noun,,Singular,,,,Masculine,Nominative,
39.1.1,Κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
39.1.1,ὃς, ,Pronoun,,Singular,,,,Masculine,Nominative,
39.1.1,ἐγενήθη, ,Verb,Third,Singular,Aorist,Indicative,Passive,,,
39.1.1,πρὸς, ,Adposition,,,,,,,,
39.1.1,Ἰωὴλ, ,Noun,,Singular,,,,Masculine,Accusative,
39.1.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
39.1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
39.1.1,Βαθουήλ,. ,Noun,,Singular,,,,Masculine,Genitive,
39.1.1,Ἀκούσατε, ,Verb,Second,Plural,Aorist,Imperative,Active,,,
39.1.2,ταῦτα,", ",Pronoun,,Plural,,,,Neuter,Accusative,
39.1.2,οἱ, ,Article,,Plural,,,,Masculine,Nominative,
39.1.2,πρεσβύτεροι,", ",Adjective,,Plural,,,,Masculine,Nominative,Comparative
39.1.2,καὶ, ,Conjunction,,,,,,,,
39.1.2,ἐνωτίσασθε,", ",Verb,Second,Plural,Aorist,Imperative,Middle,,,
39.1.2,πάντες, ,Adjective,,Plural,,,,Masculine,Nominative,
39.1.2,οἱ, ,Article,,Plural,,,,Masculine,Nominative,
39.1.2,κατοικοῦντες, ,Verb,,Plural,Present,Participle,Active,Masculine,Nominative,
39.1.2,τὴν, ,Article,,Singular,,,,Feminine,Accusative,
39.1.2,γῆν,. ,Noun,,Singular,,,,Feminine,Accusative,
39.1.2,εἰ, ,Conjunction,,,,,,,,
39.1.2,γέγονεν, ,Verb,Third,Singular,Perfect,Indicative,Active,,,
39.1.2,τοιαῦτα, ,Pronoun,,Plural,,,,Neuter,Nominative,
39.1.2,ἐν, ,Adposition,,,,,,,,
39.1.2,ταῖς, ,Article,,Plural,,,,Feminine,Dative,
39.1.2,ἡμέραις, ,Noun,,Plural,,,,Feminine,Dative,
39.1.2,ἡμῶν,", ",Pronoun,First,Plural,,,,Masculine,Genitive,
39.1.2,ἢ, ,Conjunction,,,,,,,,
39.1.2,ἐν, ,Adposition,,,,,,,,
39.1.2,ταῖς, ,Article,,Plural,,,,Feminine,Dative,
39.1.2,ἡμέραις, ,Noun,,Plural,,,,Feminine,Dative,
39.1.2,τῶν, ,Article,,Plural,,,,Masculine,Genitive,
39.1.2,πατέρων, ,Noun,,Plural,,,,Masculine,Genitive,
39.1.2,ὑμῶν,; ,Pronoun,,Plural,,,,Masculine,Genitive,
39.1.2,ὑπὲρ, ,Adposition,,,,,,,,
39.1.3,αὐτῶν, ,Pronoun,,Plural,,,,Neuter,Genitive,
39.1.3,τοῖς, ,Article,,Plural,,,,Neuter,Dative,
39.1.3,τέκνοις, ,Noun,,Plural,,,,Neuter,Dative,
39.1.3,ὑμῶν, ,Pronoun,Second,Plural,,,,Masculine,Genitive,
39.1.3,διηγήσασθε,", ",Verb,Second,Plural,Aorist,Imperative,Middle,,,
39.1.3,καὶ, ,Conjunction,,,,,,,,
39.1.3,τὰ, ,Article,,Plural,,,,Neuter,Accusative,
39.1.3,τέκνα, ,Noun,,Plural,,,,Neuter,Accusative,
39.1.3,ὑμῶν, ,Pronoun,Second,Plural,,,,Masculine,Genitive,
39.1.3,τοῖς, ,Article,,Plural,,,,Neuter,Dative,
39.1.3,τέκνοις, ,Noun,,Plural,,,,Neuter,Dative,
39.1.3,αὐτῶν,", ",Pronoun,,Plural,,,,Masculine,Genitive,
39.1.3,καὶ, ,Conjunction,,,,,,,,
39.1.3,τὰ, ,Article,,Plural,,,,Neuter,Accusative,
39.1.3,τέκνα, ,Noun,,Plural,,,,Neuter,Nominative,
39.1.3,αὐτῶν, ,Pronoun,,Plural,,,,Masculine,Genitive,
39.1.3,εἰς, ,Adposition,,,,,,,,
39.1.3,γενεὰν, ,Noun,,Singular,,,,Feminine,Accusative,
39.1.3,ἑτέραν,. ,Adjective,,Singular,,,,Feminine,Accusative,
39.1.3,τὰ, ,Article,,Plural,,,,Neuter,Accusative,
39.1.3,κατάλοιπα, ,Adjective,,Plural,,,,Neuter,Accusative,
