reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
43.1.1,ΤΟ, ,Article,Third,Singular,,,,,,
43.1.1,λῆμμα, ,Noun,,Singular,,,,Neuter,Accusative,
43.1.1,ὃ, ,Pronoun,,Singular,,,,Neuter,Accusative,
43.1.1,εἶδεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
43.1.1,Ἁμβακοὺμ, ,Noun,,Singular,,,,Neuter,Accusative,
43.1.1,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
43.1.1,προφήτης,. ,Noun,,Singular,,,,Masculine,Nominative,
43.1.1,Ἕως, ,Conjunction,,,,,,,,
43.1.2,τίνος,", ",Pronoun,,Singular,,,,Masculine,Genitive,
43.1.2,Κύριε,", ",Noun,Second,Singular,,,,Masculine,Vocative,
43.1.2,κράξομαι,", ",Verb,First,Singular,Future,Indicative,Middle,,,
43.1.2,καὶ, ,Conjunction,,,,,,,,
43.1.2,οὐ, ,Adverb,,,,,,,,
43.1.2,μὴ, ,Adverb,,,,,,,,
43.1.2,εἰσακούσῃς,; ,Verb,Second,Singular,Aorist,Subjunctive,Active,,,
43.1.2,βοήσομαι, ,Verb,First,Singular,Future,Indicative,Middle,,,
43.1.2,πρὸς, ,Adposition,,,,,,,,
43.1.2,σὲ, ,Pronoun,Second,Singular,,,,Masculine,Accusative,
43.1.2,ἀδικούμενος,", ",Verb,,Singular,Present,Participle,Medio-passive,Masculine,Nominative,
43.1.2,καὶ, ,Conjunction,,,,,,,,
43.1.2,οὐ, ,Adverb,,,,,,,,
43.1.2,σώσεις,; ,Noun,Second,Singular,,,,Feminine,Nominative,
43.1.2,ἵνα, ,Conjunction,,,,,,,,
43.1.3,τί, ,Pronoun,,Singular,,,,Neuter,Accusative,
43.1.3,ἔδειξάς, ,Verb,Second,Singular,Aorist,Indicative,Active,,,
43.1.3,μοι, ,Pronoun,First,Singular,,,,Masculine,Dative,
43.1.3,κόπους, ,Noun,,Plural,,,,Masculine,Accusative,
43.1.3,καὶ, ,Conjunction,,,,,,,,
43.1.3,πόνους, ,Noun,,Plural,,,,Masculine,Accusative,
43.1.3,ἐπιβλέπειν,", ",Verb,,,Present,Infinitive,Active,,,
43.1.3,ταλαιπωρίαν, ,Noun,,Singular,,,,Feminine,Accusative,
43.1.3,καὶ, ,Conjunction,,,,,,,,
43.1.3,ἀσέβειαν,; ,Noun,,Singular,,,,Feminine,Accusative,
43.1.3,ἐξ, ,Adposition,,,,,,,,
43.1.3,ἐναντίας, ,Adjective,,Singular,,,,Feminine,Genitive,
43.1.3,μου, ,Pronoun,First,Singular,,,,Masculine,Genitive,
43.1.3,γέγονεν, ,Verb,Third,Singular,Perfect,Indicative,Active,,,
