reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
42.1.1,ΛΗΜΜΑ, ,Noun,,Singular,,,,Neuter,Nominative,
42.1.1,Νινευή,", ",Noun,,Singular,,,,Feminine,Nominative,
42.1.1,βιβλίον, ,Noun,,Singular,,,,Neuter,Nominative,
42.1.1,ὁράσεως, ,Noun,,Singular,,,,Feminine,Genitive,
42.1.1,Ναοὺμ, ,Noun,,Singular,,,,Masculine,Nominative,
42.1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
42.1.1,Ἐλκεσαίου,. ,Noun,,Singular,,,,Masculine,Genitive,
42.1.1,Θεὸς, ,Noun,,Singular,,,,Masculine,Nominative,
42.1.2,ζηλωτὴς, ,Adjective,,Singular,,,,Masculine,Nominative,
42.1.2,καὶ, ,Conjunction,,,,,,,,
42.1.2,ἐκδικῶν, ,Verb,,Singular,Present,Participle,Active,Masculine,Nominative,
42.1.2,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
42.1.2,μετὰ, ,Adposition,,,,,,,,
42.1.2,θυμοῦ,", ",Noun,,Singular,,,,Masculine,Genitive,
42.1.2,ἐκδικῶν, ,Verb,,Singular,Present,Participle,Active,Masculine,Nominative,
42.1.2,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
42.1.2,τοὺς, ,Article,,Plural,,,,Masculine,Accusative,
42.1.2,ὑπεναντίους, ,Adjective,,Plural,,,,Masculine,Accusative,
42.1.2,αὐτοῦ,", ",Pronoun,,Singular,,,,Masculine,Genitive,
42.1.2,καὶ, ,Conjunction,,,,,,,,
42.1.2,ἐξαίρων, ,Verb,,Singular,Present,Participle,Active,Masculine,Nominative,
42.1.2,αὐτὸς, ,Pronoun,,Singular,,,,Masculine,Nominative,
42.1.2,τοὺς, ,Article,,Plural,,,,Masculine,Accusative,
42.1.2,ἐχθροὺς, ,Adjective,,Plural,,,,Masculine,Accusative,
42.1.2,αὐτοῦ,. ,Pronoun,,Singular,,,,Masculine,Genitive,
42.1.2,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
42.1.3,μακρόθυμος,", ",Adjective,,Singular,,,,Masculine,Nominative,
42.1.3,καὶ, ,Conjunction,,,,,,,,
42.1.3,μεγάλη, ,Adjective,,Singular,,,,Feminine,Nominative,
42.1.3,ἡ, ,Article,,Singular,,,,Feminine,Nominative,
42.1.3,ἰσχὺς, ,Noun,,Singular,,,,Feminine,Nominative,
42.1.3,αὐτοῦ,", ",Pronoun,,Singular,,,,Masculine,Genitive,
42.1.3,καὶ, ,Conjunction,,,,,,,,
42.1.3,ἀθῷον, ,Adjective,,Singular,,,,Neuter,Accusative,
42.1.3,οὐκ, ,Adverb,,,,,,,,
42.1.3,ἀθῳώσει, ,Verb,Third,Singular,Future,Indicative,Active,,,
42.1.3,Κύριος,· ,Noun,,Singular,,,,Masculine,Nominative,
42.1.3,ἐν, ,Adposition,,,,,,,,
42.1.3,συντελείᾳ, ,Noun,,Singular,,,,Feminine,Dative,
42.1.3,καὶ, ,Adverb,,,,,,,,
42.1.3,ἐν, ,Adposition,,,,,,,,
42.1.3,συνσεισμῷ, ,Noun,,Singular,,,,Masculine,Dative,
42.1.3,ἡ, ,Article,,Singular,,,,Feminine,Nominative,
42.1.3,ὁδὸς, ,Noun,,Singular,,,,Feminine,Nominative,
42.1.3,αὐτοῦ,", ",Pronoun,,Singular,,,,Masculine,Genitive,
42.1.3,καὶ, ,Conjunction,,,,,,,,
42.1.3,νεφέλαι, ,Noun,,Plural,,,,Feminine,Nominative,
42.1.3,κονιορτὸς, ,Adjective,,Singular,,,,Feminine,Nominative,
42.1.3,ποδῶν, ,Noun,,Plural,,,,Masculine,Genitive,
42.1.3,αὐτοῦ,· ,Pronoun,,Singular,,,,Masculine,Genitive,
42.1.3,ἀπειλῶν, ,Verb,,Singular,Present,Participle,Active,Masculine,Nominative,
42.1.4,θαλάσσῃ, ,Noun,,Singular,,,,Feminine,Dative,
42.1.4,καὶ, ,Conjunction,,,,,,,,
42.1.4,ξηραίνων, ,Verb,,Singular,Present,Participle,Active,Masculine,Nominative,
42.1.4,αὐτήν,", ",Pronoun,,Singular,,,,Feminine,Accusative,
42.1.4,καὶ, ,Conjunction,,,,,,,,
42.1.4,πάντας, ,Adjective,,Plural,,,,Masculine,Accusative,
42.1.4,τοὺς, ,Article,,Plural,,,,Masculine,Accusative,
42.1.4,ποταμοὺς, ,Noun,,Plural,,,,Masculine,Accusative,
42.1.4,ἐξερημῶν,. ,Verb,,Singular,Present,Participle,Active,Masculine,Nominative,
42.1.4,ὀλιγώθη, ,Verb,Third,Singular,Aorist,Indicative,Passive,,,
42.1.4,ἡ, ,Article,,Singular,,,,Feminine,Nominative,
42.1.4,Βασανῖτις, ,Noun,,Singular,,,,Feminine,Nominative,
42.1.4,καὶ, ,Conjunction,,,,,,,,
42.1.4,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
42.1.4,Κάρμηλος,", ",Noun,,Singular,,,,Masculine,Nominative,
42.1.4,καὶ, ,Conjunction,,,,,,,,
42.1.4,τὰ, ,Article,,Plural,,,,Neuter,Accusative,
42.1.4,ἐξανθοῦντα, ,Verb,,Plural,Present,Participle,Active,Neuter,Accusative,
42.1.4,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
42.1.4,Λιβάνου, ,Noun,,Singular,,,,Masculine,Genitive,
42.1.4,ἐξέλιπεν,· ,Verb,Third,Singular,Aorist,Indicative,Active,,,
42.1.4,τὰ, ,Article,,Plural,,,,Neuter,Nominative,
42.1.4,ὄρη, ,Noun,,Plural,,,,Neuter,Nominative,
42.1.5,ἐσείσθησαν, ,Verb,Third,Plural,Aorist,Indicative,Passive,,,
42.1.5,ἀπ’, ,Adposition,,,,,,,,
42.1.5,αὐτοῦ,", ",Pronoun,,Singular,,,,Masculine,Genitive,
42.1.5,καὶ, ,Conjunction,,,,,,,,
42.1.5,οἱ, ,Article,,Plural,,,,Masculine,Nominative,
42.1.5,βουνοὶ, ,Noun,,Plural,,,,Masculine,Nominative,
42.1.5,ἐσαλεύθησαν,· ,Verb,Third,Plural,Aorist,Indicative,Passive,,,
42.1.5,καὶ, ,Adverb,,,,,,,,
42.1.5,ἀνεστάλη, ,Verb,Third,Singular,Aorist,Indicative,Passive,,,
42.1.5,ἡ, ,Article,,Singular,,,,Feminine,Nominative,
42.1.5,γῆ, ,Noun,,Singular,,,,Feminine,Nominative,
42.1.5,ἀπὸ, ,Adposition,,,,,,,,
42.1.5,προσώπου, ,Noun,,Singular,,,,Neuter,Genitive,
42.1.5,αὐτοῦ,", ",Pronoun,,Singular,,,,Neuter,Genitive,
42.1.5,ἡ, ,Article,,Singular,,,,Feminine,Nominative,
42.1.5,σύμπασα,", ",Adjective,,Singular,,,,Feminine,Nominative,
42.1.5,καὶ, ,Conjunction,,,,,,,,
42.1.5,πάντες, ,Adjective,,Plural,,,,Masculine,Nominative,
42.1.5,οἱ, ,Article,,Plural,,,,Masculine,Nominative,
42.1.5,κατοικοῦντες, ,Verb,,Plural,Present,Participle,Active,Masculine,Nominative,
42.1.5,ἐν, ,Adposition,,,,,,,,
42.1.5,αὐτῇ,. ,Pronoun,,Singular,,,,Feminine,Dative,
42.1.5,ἀπὸ, ,Adposition,,,,,,,,
42.1.5,προσώπου, ,Noun,,Singular,,,,Neuter,Genitive,
42.1.6,ὀργῆς, ,Noun,,Singular,,,,Feminine,Genitive,
42.1.6,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
42.1.6,τίς, ,Pronoun,,Singular,,,,Masculine,Nominative,
42.1.6,ὑποστήσεται,; ,Verb,Third,Singular,Future,Indicative,Middle,,,
42.1.6,καὶ, ,Adverb,,,,,,,,
42.1.6,τίς, ,Pronoun,,Singular,,,,Masculine,Nominative,
42.1.6,ἀντιστήσεται, ,Verb,Third,Singular,Future,Indicative,Middle,,,
42.1.6,ἐν, ,Adposition,,,,,,,,
42.1.6,ὀργῇ, ,Noun,,Singular,,,,Feminine,Dative,
42.1.6,θυμοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
42.1.6,αὐτοῦ,; ,Pronoun,,Singular,,,,Masculine,Genitive,
42.1.6,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
42.1.6,θυμὸς, ,Noun,,Singular,,,,Masculine,Nominative,
42.1.6,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
42.1.6,τήκει, ,Noun,,Singular,,Indicative,,Neuter,Dative,
42.1.6,ἀρχάς,", ",Noun,,Plural,,,,Feminine,Accusative,
42.1.6,καὶ, ,Conjunction,,,,,,,,
42.1.6,αἱ, ,Article,,Plural,,,,Feminine,Nominative,
42.1.6,πέτραι, ,Noun,,Plural,,,,Feminine,Nominative,
42.1.6,διεθρύβησαν, ,Verb,Third,Plural,Aorist,Indicative,Active,,,
42.1.6,ἀπ’, ,Adposition,,,,,,,,
42.1.6,αὐτοῦ,. ,Pronoun,,Singular,,,,Masculine,Genitive,
42.1.6,χρηστὸς, ,Adjective,,Singular,,,,Masculine,Nominative,
42.1.7,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
42.1.7,τοῖς, ,Article,,Plural,,,,Masculine,Dative,
42.1.7,ὑπομένουσιν, ,Verb,,Plural,Present,Participle,Active,Masculine,Dative,
42.1.7,αὐτὸν, ,Pronoun,,Singular,,,,Masculine,Accusative,
42.1.7,ἐν, ,Adposition,,,,,,,,
42.1.7,ἡμέρᾳ, ,Noun,,Singular,,,,Feminine,Dative,
42.1.7,θλίψεως,", ",Noun,,Singular,,,,Feminine,Genitive,
42.1.7,καὶ, ,Conjunction,,,,,,,,
42.1.7,γινώσκων, ,Verb,,Singular,Present,Participle,Active,Masculine,Nominative,
42.1.7,τοὺς, ,Article,,Plural,,,,Masculine,Accusative,
42.1.7,εὐλαβουμένους, ,Verb,,Plural,Present,Participle,Medio-passive,Masculine,Accusative,
42.1.7,αὐτόν,. ,Pronoun,,Singular,,,,Masculine,Accusative,
42.1.7,καὶ, ,Adverb,,,,,,,,
42.1.7,ἐν, ,Adposition,,,,,,,,
42.1.7,κατακλυσμῷ, ,Noun,,Singular,,,,Masculine,Dative,
42.1.8,πορείας, ,Noun,,Singular,,,,Feminine,Genitive,
42.1.8,συντέλειαν, ,Noun,,Singular,,,,Feminine,Accusative,
42.1.8,ποιήσεται,", ",Verb,Third,Singular,Future,Indicative,Middle,,,
42.1.8,τοὺς, ,Article,,Plural,,,,Masculine,Accusative,
42.1.8,ἐπεγειρομένους, ,Verb,,Plural,Present,Participle,Medio-passive,Masculine,Accusative,
42.1.8,καὶ, ,Conjunction,,,,,,,,
42.1.8,τοὺς, ,Article,,Plural,,,,Masculine,Accusative,
42.1.8,ἐχθροὺς, ,Adjective,,Plural,,,,Masculine,Accusative,
42.1.8,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
42.1.8,διώξεται, ,Verb,Third,Singular,Future,Indicative,Middle,,,
42.1.8,σκότος,. ,Noun,,Singular,,,,Masculine,Nominative,
42.1.8,τί, ,Pronoun,,Singular,,,,Neuter,Accusative,
42.1.8,λογίζεσθε, ,Verb,Second,Plural,Present,Indicative,Medio-passive,,,
42.1.9,ἐπὶ, ,Adposition,,,,,,,,
42.1.9,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
42.1.9,κύριον,; ,Noun,,Singular,,,,Masculine,Accusative,
42.1.9,συντέλειαν, ,Noun,,Singular,,,,Feminine,Accusative,
42.1.9,αὐτὸς, ,Pronoun,,Singular,,,,Masculine,Nominative,
42.1.9,ποιήσεται,", ",Verb,Third,Singular,Future,Indicative,Middle,,,
42.1.9,οὐκ, ,Adverb,,,,,,,,
42.1.9,ἐκδικήσει, ,Verb,Third,Singular,Future,Indicative,Active,,,
42.1.9,δὶς, ,Adverb,,,,,,,,
42.1.9,ἐπὶ, ,Adposition,,,,,,,,
42.1.9,τὸ, ,Article,,Singular,,,,Neuter,Accusative,
42.1.9,αὐτὸ, ,Pronoun,,Singular,,,,Neuter,Accusative,
42.1.9,ἐν, ,Adposition,,,,,,,,
42.1.9,θλίψει,· ,Noun,,Singular,,,,,Dative,
42.1.9,ὅτι, ,Conjunction,,,,,,,,
42.1.9,ἕως, ,Conjunction,,,,,,,,
