reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
41.1.1,ΚΑΙ, ,Adposition,,,,,,,,
41.1.1,ἐγένετο, ,Verb,Third,Singular,Aorist,Indicative,Middle,,,
41.1.1,λόγος, ,Noun,,Singular,,,,Masculine,Nominative,
41.1.1,Κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
41.1.1,πρὸς, ,Adposition,,,,,,,,
41.1.1,Ἰωνᾶν, ,Noun,,Singular,,,,,Accusative,
41.1.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
41.1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
41.1.1,Ἀμαθεὶ, ,Adverb,,,,,,,,
41.1.1,λέγων,", ",Verb,,Singular,Present,Participle,Active,Masculine,Nominative,
41.1.1,Ἀνάστηθι, ,Verb,Second,Singular,Aorist,Imperative,Active,,,
41.1.2,καὶ, ,Conjunction,,,,,,,,
41.1.2,πορεύθητι, ,Verb,Second,Singular,Aorist,Imperative,Passive,,,
41.1.2,εἰς, ,Adposition,,,,,,,,
41.1.2,Νινευὴ, ,Noun,,Singular,,,,Feminine,Accusative,
41.1.2,τὴν, ,Article,,Singular,,,,Feminine,Accusative,
41.1.2,πόλιν, ,Noun,,Singular,,,,Feminine,Accusative,
41.1.2,τὴν, ,Article,,Singular,,,,Feminine,Accusative,
41.1.2,μεγάλην, ,Adjective,,Singular,,,,Feminine,Accusative,
41.1.2,καὶ, ,Conjunction,,,,,,,,
41.1.2,κήρυξον, ,Noun,,Singular,,,,Feminine,,
41.1.2,ἐν, ,Adposition,,,,,,,,
41.1.2,αὐτῇ,", ",Pronoun,,Singular,,,,Feminine,Dative,
41.1.2,ὅτι, ,Conjunction,,,,,,,,
41.1.2,ἀνέβη, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
41.1.2,ἡ, ,Article,,Singular,,,,Feminine,Nominative,
41.1.2,κραυγὴ, ,Noun,,Singular,,,,Feminine,Nominative,
41.1.2,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
41.1.2,κακίας, ,Noun,,Singular,,,,Feminine,Genitive,
41.1.2,αὐτῆς, ,Pronoun,,Singular,,,,Feminine,Genitive,
41.1.2,πρὸς, ,Adposition,,,,,,,,
41.1.2,μέ,. ,Pronoun,First,Singular,,,,Masculine,Accusative,
41.1.2,καὶ, ,Adverb,,,,,,,,
41.1.3,ἀνέστη, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
41.1.3,Ἰωνᾶς, ,Noun,,Singular,,,,Feminine,Genitive,
41.1.3,τοῦ, ,Article,,Singular,,,,Neuter,Genitive,
41.1.3,φυγεῖν, ,Verb,,,Aorist,Infinitive,Active,,,
41.1.3,εἰς, ,Adposition,,,,,,,,
41.1.3,Θαρσεὶς, ,Verb,,Singular,Aorist,Participle,Passive,Masculine,Nominative,
41.1.3,ἐκ, ,Adposition,,,,,,,,
41.1.3,προσώπου, ,Noun,,Singular,,,,Neuter,Genitive,
