reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
56.1.1,ΕΠΙ, ,Adposition,,,,,,,,
56.1.1,βασιλέως, ,Noun,,Singular,,,,Masculine,Genitive,
56.1.1,Ἰωακεὶμ, ,Noun,,Singular,,,,Masculine,Nominative,
56.1.1,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
56.1.1,Ἰουδαίας, ,Noun,,Singular,,,,Feminine,Genitive,
56.1.1,ἔτους, ,Noun,,Singular,,,,Neuter,Genitive,
56.1.1,τρίτου, ,Adjective,,Singular,,,,Neuter,Genitive,
56.1.1,παραγενόμενος, ,Verb,,Singular,Aorist,Participle,Middle,Masculine,Nominative,
56.1.1,Ναβουχοδονοσὸρ, ,Noun,,Singular,,,,Masculine,Nominative,
56.1.1,βασιλεὺς, ,Noun,,Singular,,,,Masculine,Nominative,
56.1.1,Βαβυλῶνος, ,Noun,,Singular,,,,Feminine,Genitive,
56.1.1,εἰς, ,Adposition,,,,,,,,
56.1.1,Ἰερουσαλὴμ, ,Noun,,Singular,,,,Feminine,Accusative,
56.1.1,ἐπολιόρκει, ,Verb,Third,Singular,Imperfect,Indicative,Active,,,
56.1.1,αὐτήν,. ,Pronoun,,Singular,,,,Feminine,Accusative,
56.1.1,καὶ, ,Adverb,,,,,,,,
56.1.2,παρέδωκεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
56.1.2,αὐτὴν, ,Pronoun,,Singular,,,,Feminine,Accusative,
56.1.2,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
56.1.2,εἰς, ,Adposition,,,,,,,,
56.1.2,χεῖρας, ,Noun,,Plural,,,,Feminine,Accusative,
56.1.2,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
56.1.2,καὶ, ,Conjunction,,,,,,,,
56.1.2,Ἰωακεὶμ, ,Noun,,Singular,,,,Masculine,Accusative,
56.1.2,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
56.1.2,βασιλέα, ,Noun,,Singular,,,,Masculine,Accusative,
56.1.2,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
56.1.2,Ἰουδαίας, ,Noun,,Singular,,,,Feminine,Genitive,
56.1.2,καὶ, ,Conjunction,,,,,,,,
56.1.2,μέρος, ,Noun,,Singular,,,,Neuter,Accusative,
56.1.2,τι, ,Adjective,,Singular,,,,Neuter,Accusative,
56.1.2,τῶν, ,Article,,Plural,,,,Neuter,Genitive,
56.1.2,ἱερῶν, ,Noun,,Plural,,,,Neuter,Genitive,
56.1.2,σκευῶν, ,Noun,,Plural,,,,Neuter,Genitive,
56.1.2,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
56.1.2,κυρίου,", ",Noun,,Singular,,,,Masculine,Genitive,
56.1.2,καὶ, ,Conjunction,,,,,,,,
56.1.2,ἀπήνεγκεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
56.1.2,αὐτὰ, ,Pronoun,,Plural,,,,Neuter,Accusative,
56.1.2,εἰς, ,Adposition,,,,,,,,
56.1.2,Βαβυλῶνα, ,Noun,,Singular,,,,Feminine,Accusative,
56.1.2,εἰς, ,Adposition,,,,,,,,
56.1.2,γῆν, ,Noun,,Singular,,,,Feminine,Accusative,
56.1.2,Σεναὰρ, ,Adjective,,Singular,,,,,Accusative,
56.1.2,εἰς, ,Adposition,,,,,,,,
56.1.2,οἶκον, ,Noun,,Singular,,,,Masculine,Accusative,
56.1.2,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
56.1.2,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
56.1.2,αὐτοῦ,", ",Pronoun,,Singular,,,,Masculine,Genitive,
56.1.2,καὶ, ,Conjunction,,,,,,,,
56.1.2,τὰ, ,Article,,Plural,,,,Neuter,Accusative,
56.1.2,σκεύη,· ,Noun,,Plural,,,,Neuter,Accusative,
56.1.2,καὶ, ,Adverb,,,,,,,,
56.1.2,ἀπηρείσατο, ,Verb,Third,Singular,Aorist,Indicative,Middle,,,
56.1.2,αὐτὰ, ,Pronoun,,Plural,,,,Neuter,Accusative,
56.1.2,ἐν, ,Adposition,,,,,,,,
56.1.2,τῷ, ,Article,,Singular,,,,Neuter,Dative,
56.1.2,εἰδωλείῳ, ,Noun,,Singular,,,,Neuter,Dative,
56.1.2,αὐτοῦ,. ,Pronoun,,Singular,,,,Neuter,Genitive,
56.1.2,καὶ, ,Adverb,,,,,,,,
56.1.3,εἶπεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
56.1.3,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
56.1.3,βασιλεὺς, ,Noun,,Singular,,,,Masculine,Nominative,
56.1.3,Ἀβιεσδρὶ, ,Noun,,Singular,,,,Masculine,Dative,
56.1.3,τῷ, ,Article,,Singular,,,,Masculine,Dative,
56.1.3,ἑαυτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
56.1.3,ἀρχιευνούχῳ, ,Noun,,Singular,,,,Masculine,Dative,
56.1.3,ἀγαγεῖν, ,Verb,,,Aorist,Infinitive,Active,,,
56.1.3,αὐτῷ, ,Pronoun,,Singular,,,,Masculine,Dative,
56.1.3,ἐκ, ,Adposition,,,,,,,,
56.1.3,τῶν, ,Article,,Plural,,,,Masculine,Genitive,
56.1.3,υἱῶν, ,Noun,,Plural,,,,Masculine,Genitive,
56.1.3,τῶν, ,Article,,Plural,,,,Masculine,Genitive,
56.1.3,μεγιστάνων, ,Adjective,,Plural,,,,Masculine,Genitive,
56.1.3,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
56.1.3,Ἰσραὴλ, ,Noun,,Singular,,,,Masculine,Genitive,
56.1.3,καὶ, ,Conjunction,,,,,,,,
56.1.3,ἐκ, ,Adposition,,,,,,,,
56.1.3,τοῦ, ,Article,,Singular,,,,Neuter,Genitive,
56.1.3,βασιλικοῦ, ,Adjective,,Singular,,,,Neuter,Genitive,
56.1.3,γένους, ,Noun,,Singular,,,,Neuter,Genitive,
56.1.3,καὶ, ,Conjunction,,,,,,,,
56.1.3,ἐκ, ,Adposition,,,,,,,,
56.1.3,τῶν, ,Article,,Plural,,,,Neuter,Genitive,
56.1.3,ἐπιλέκτων,", ",Adjective,,Plural,,,,Neuter,Genitive,
56.1.3,νεανίσκους, ,Noun,,Plural,,,,Masculine,Accusative,
56.1.4,ἀμώμους, ,Adjective,,Plural,,,,Masculine,Accusative,
56.1.4,καὶ, ,Adverb,,,,,,,,
56.1.4,εὐειδεῖς, ,Adjective,,Plural,,,,Masculine,Accusative,
56.1.4,καὶ, ,Conjunction,,,,,,,,
56.1.4,ἐπιστήμονας, ,Noun,,Plural,,,,Masculine,Accusative,
56.1.4,ἐν, ,Adposition,,,,,,,,
56.1.4,πάσῃ, ,Adjective,,Singular,,,,Feminine,Dative,
56.1.4,σοφίᾳ, ,Noun,,Singular,,,,Feminine,Dative,
56.1.4,καὶ, ,Adverb,,,,,,,,
56.1.4,γραμματικοὺς, ,Noun,,Plural,,,,Masculine,Accusative,
56.1.4,καὶ, ,Adverb,,,,,,,,
56.1.4,συνετοὺς, ,Adjective,,Plural,,,,Masculine,Accusative,
56.1.4,καὶ, ,Conjunction,,,,,,,,
56.1.4,σοφούς,", ",Adjective,,Plural,,,,Masculine,Accusative,
56.1.4,καὶ, ,Conjunction,,,,,,,,
56.1.4,ἰσχύοντας, ,Verb,,Plural,Present,Participle,Active,Masculine,Accusative,
56.1.4,ὥστε, ,Conjunction,,,,,,,,
56.1.4,εἶναι, ,Verb,,,Present,Infinitive,Active,,,
56.1.4,ἐν, ,Adposition,,,,,,,,
56.1.4,τῷ, ,Article,,Singular,,,,Masculine,Dative,
56.1.4,οἴκῳ, ,Noun,,Singular,,,,Masculine,Dative,
56.1.4,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
56.1.4,βασιλέως,", ",Noun,,Singular,,,,Masculine,Genitive,
56.1.4,καὶ, ,Conjunction,,,,,,,,
56.1.4,διδάξαι, ,Verb,,,Aorist,Infinitive,Active,,,
56.1.4,αὐτοὺς, ,Pronoun,,Plural,,,,Masculine,Accusative,
56.1.4,γράμματα, ,Noun,,Plural,,,,Neuter,Accusative,
56.1.4,καὶ, ,Conjunction,,,,,,,,
56.1.4,διάλεκτον, ,Noun,,Singular,,,,Feminine,Accusative,
56.1.4,Χαλδαικήν,· ,Adjective,,Singular,,,,Feminine,Accusative,
56.1.4,καὶ, ,Adverb,,,,,,,,
56.1.4,δίδοσθαι, ,Verb,,,Present,Infinitive,Medio-passive,,,
56.1.5,αὐτοῖς, ,Pronoun,,Plural,,,,Neuter,Dative,
56.1.5,ἔκθεσιν, ,Noun,,Singular,,,,Neuter,Accusative,
56.1.5,ἐκ, ,Adposition,,,,,,,,
56.1.5,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
