reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
10.1.1,ΚΑΙ, ,Adposition,,,,,,,,
10.1.1,ἐγένετο, ,Verb,Third,Singular,Aorist,Indicative,Middle,,,
10.1.1,ἐν, ,Adposition,,,,,,,,
10.1.1,τῷ, ,Article,,Singular,,,,Neuter,Dative,
10.1.1,κρίνειν, ,Verb,,,Present,Infinitive,Active,,,
10.1.1,τοὺς, ,Article,,Plural,,,,Masculine,Accusative,
10.1.1,κριτὰς, ,Noun,,Plural,,,,Masculine,Accusative,
10.1.1,καὶ, ,Conjunction,,,,,,,,
10.1.1,ἐγένετο, ,Verb,Third,Singular,Aorist,Indicative,Middle,,,
10.1.1,λιμὸς, ,Noun,,Singular,,,,Masculine,Nominative,
10.1.1,ἐν, ,Adposition,,,,,,,,
10.1.1,τῇ, ,Article,,Singular,,,,Feminine,Dative,
10.1.1,γῇ,· ,Noun,,Singular,,,,Feminine,Dative,
10.1.1,καὶ, ,Adverb,,,,,,,,
10.1.1,ἐπορεύθη, ,Verb,Third,Singular,Aorist,Indicative,Passive,,,
10.1.1,ἀνὴρ, ,Noun,,Singular,,,,Masculine,Nominative,
10.1.1,ἀπὸ, ,Adposition,,,,,,,,
10.1.1,Βαιθλέεμ, ,Noun,,Singular,,,,Feminine,Accusative,
10.1.1,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
10.1.1,Ἰούδα, ,Noun,,Singular,,,,Feminine,,
10.1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
10.1.1,παροικῆσαι, ,Verb,,,Aorist,Infinitive,Active,,,
10.1.1,ἐν, ,Adposition,,,,,,,,
10.1.1,ἀγρῷ, ,Noun,,Singular,,,,Masculine,Dative,
10.1.1,Μωάβ,", ",Noun,,Singular,,,,Masculine,,
10.1.1,αὐτὸς, ,Pronoun,,Singular,,,,Masculine,Nominative,
10.1.1,καὶ, ,Adverb,,,,,,,,
10.1.1,ἡ, ,Article,,Singular,,,,Feminine,Nominative,
10.1.1,γυνὴ, ,Noun,,Singular,,,,Feminine,Nominative,
10.1.1,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
10.1.1,καὶ, ,Conjunction,,,,,,,,
10.1.1,οἱ, ,Article,,Plural,,,,Masculine,Nominative,
10.1.1,υἱοὶ, ,Noun,,Plural,,,,Masculine,Nominative,
10.1.1,αὐτοῦ,. ,Pronoun,,Singular,,,,Masculine,Genitive,
10.1.1,καὶ, ,Adverb,,,,,,,,
10.1.2,ὄνομα, ,Noun,,Singular,,,,Neuter,Nominative,
10.1.2,τῷ, ,Article,,Singular,,,,Masculine,Dative,
10.1.2,ἀνδρὶ, ,Noun,,Singular,,,,Masculine,Dative,
10.1.2,Ἀβειμέλεχ,", ",Noun,,Singular,,,,Masculine,Nominative,
10.1.2,καὶ, ,Conjunction,,,,,,,,
10.1.2,ὄνομα, ,Noun,,Singular,,,,Neuter,Accusative,
10.1.2,τοῖς, ,Article,,Plural,,,,Masculine,Dative,
10.1.2,δυσὶν, ,Adjective,,Plural,,,,Masculine,Dative,
10.1.2,υἱοῖς, ,Noun,,Plural,,,,Masculine,Dative,
10.1.2,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
10.1.2,Μααλὼν, ,Verb,,Singular,Aorist,Participle,Active,Masculine,Nominative,
10.1.2,καὶ, ,Conjunction,,,,,,,,
10.1.2,Κελαιών,", ",Noun,,Singular,,,,Masculine,Nominative,
10.1.2,Ἐφραθαῖοι, ,Noun,,Plural,,,,Masculine,Nominative,
10.1.2,ἐκ, ,Adposition,,,,,,,,
10.1.2,Βαιθλέεμ, ,Noun,,Singular,,,,Feminine,Genitive,
10.1.2,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
10.1.2,Ἰούδα,· ,Noun,,Singular,,,,Feminine,Genitive,
10.1.2,καὶ, ,Adverb,,,,,,,,
10.1.2,ἤλθοσαν, ,Verb,Third,Plural,Aorist,Indicative,Active,,,
10.1.2,εἰς, ,Adposition,,,,,,,,
10.1.2,ἀγρὸν, ,Noun,,Singular,,,,Masculine,Accusative,
10.1.2,Μωὰβ, ,Noun,,Singular,,,,,Accusative,
10.1.2,καὶ, ,Conjunction,,,,,,,,
10.1.2,ἦσαν, ,Verb,Third,Plural,Imperfect,Indicative,Active,,,
10.1.2,ἐκεῖ,. ,Adverb,,,,,,,,
10.1.2,καὶ, ,Adverb,,,,,,,,
10.1.3,ἀπέθανεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
10.1.3,Ἀβειμέλεχ, ,Noun,,Singular,,,,Masculine,Nominative,
10.1.3,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
10.1.3,ἀνὴρ, ,Noun,,Singular,,,,Masculine,Nominative,
10.1.3,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
10.1.3,Νωεμείν,", ",Verb,,Singular,Present,Participle,Active,Feminine,Genitive,
10.1.3,καὶ, ,Conjunction,,,,,,,,
10.1.3,κατελείφθη, ,Verb,Third,Singular,Aorist,Indicative,Passive,,,
10.1.3,αὕτη, ,Pronoun,,Singular,,,,Feminine,Nominative,
10.1.3,καὶ, ,Adverb,,,,,,,,
