reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
45.1.1,ΕΝ, ,Verb,Third,,Imperfect,Indicative,Active,,,
45.1.1,τῷ, ,Article,,Singular,,,,Neuter,Dative,
45.1.1,δευτέρῳ, ,Adjective,,Singular,,,,Neuter,Dative,
45.1.1,ἔτει, ,Noun,,Singular,,,,Neuter,Dative,
45.1.1,ἐπὶ, ,Adposition,,,,,,,,
45.1.1,Δαρίου, ,Noun,,Singular,,,,Masculine,Genitive,
45.1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
45.1.1,βασιλέως, ,Noun,,Singular,,,,Masculine,Genitive,
45.1.1,ἐν, ,Adposition,,,,,,,,
45.1.1,τῷ, ,Article,,Singular,,,,Masculine,Dative,
45.1.1,μηνὶ, ,Noun,,Singular,,,,Masculine,Dative,
45.1.1,τῷ, ,Article,,Singular,,,,Masculine,Dative,
45.1.1,ἕκτῳ, ,Adjective,,Singular,,,,Masculine,Dative,
45.1.1,μιᾷ, ,Adjective,,Singular,,,,Feminine,Dative,
45.1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
45.1.1,μηνὸς, ,Noun,,Singular,,,,Masculine,Genitive,
45.1.1,ἐγένετο, ,Verb,Third,Singular,Aorist,Indicative,Middle,,,
45.1.1,λόγος, ,Noun,,Singular,,,,Masculine,Nominative,
45.1.1,Κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
45.1.1,ἐν, ,Adposition,,,,,,,,
45.1.1,χειρὶ, ,Noun,,Singular,,,,Feminine,Dative,
45.1.1,Ἁγγαίου, ,Noun,,Singular,,,,Neuter,Genitive,
45.1.1,τοῦ, ,Article,,Singular,,,,Neuter,Genitive,
45.1.1,προφήτου, ,Noun,,Singular,,,,Neuter,Genitive,
45.1.1,λέγων, ,Verb,,Singular,Present,Participle,Active,Masculine,Nominative,
45.1.1,Εἰπὸν, ,Verb,,Singular,Aorist,Participle,Active,Masculine,Accusative,
45.1.1,πρὸς, ,Adposition,,,,,,,,
45.1.1,Ζοροβαβὲλ, ,Noun,,Singular,,,,Masculine,Accusative,
45.1.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
45.1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
45.1.1,Σαλαθιὴλ, ,Noun,,Singular,,,,Masculine,Genitive,
45.1.1,ἐκ, ,Adposition,,,,,,,,
45.1.1,φυλῆς, ,Noun,,Singular,,,,Feminine,Genitive,
45.1.1,Ἰούδα, ,Noun,,Singular,,,,,Genitive,
45.1.1,καὶ, ,Conjunction,,,,,,,,
45.1.1,πρὸς, ,Adposition,,,,,,,,
45.1.1,Ἰησοῦν, ,Noun,,Singular,,Infinitive,Active,Masculine,Accusative,
45.1.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
45.1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
45.1.1,Ἰωσεδὲκ, ,Noun,,Singular,,,,Masculine,Genitive,
45.1.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
45.1.1,ἱερέα, ,Noun,,Singular,,,,Masculine,Accusative,
45.1.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
45.1.1,μέγαν, ,Adjective,,Singular,,,,Masculine,Accusative,
45.1.1,λέγων, ,Verb,,Singular,Present,Participle,Active,Masculine,Nominative,
45.1.1,Τάδε, ,Pronoun,,Plural,,,,Neuter,Accusative,
45.1.2,λέγει, ,Verb,Third,Singular,Present,Indicative,Active,,,
45.1.2,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
