reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
40.1.1,ΟΡΑΣΙΣ, ,Noun,,Singular,,,,Feminine,Nominative,
40.1.1,Ὀβδειού,. ,Adjective,,Singular,,,,Feminine,Nominative,
40.1.1,Τάδε, ,Pronoun,,Plural,,,,Neuter,Accusative,
40.1.1,λέγει, ,Verb,Third,Singular,Present,Indicative,Active,,,
40.1.1,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
40.1.1,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
40.1.1,θεὸς, ,Noun,,Singular,,,,Masculine,Nominative,
40.1.1,τῇ, ,Article,,Singular,,,,Feminine,Dative,
40.1.1,Ἰδουμαίᾳ, ,Noun,,Singular,,,,Feminine,Dative,
40.1.1,Ἀκοὴν, ,Noun,,Singular,,,,Feminine,Accusative,
40.1.1,ἤκουσα, ,Verb,First,Singular,Aorist,Indicative,Active,,,
40.1.1,παρὰ, ,Adposition,,,,,,,,
40.1.1,Κυρίου,", ",Noun,,Singular,,,,Masculine,Genitive,
40.1.1,καὶ, ,Conjunction,,,,,,,,
40.1.1,περιοχὴν, ,Noun,,Singular,,,,Feminine,Accusative,
40.1.1,εἰς, ,Adposition,,,,,,,,
40.1.1,τὰ, ,Article,,Plural,,,,Neuter,Accusative,
40.1.1,ἔθνη, ,Noun,,Plural,,,,Neuter,Accusative,
40.1.1,ἐξαπέστειλεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
40.1.1,Ἀνάστητε, ,Verb,Second,Plural,Aorist,Subjunctive,Active,,,
40.1.1,καὶ, ,Conjunction,,,,,,,,
40.1.1,ἐξαναστῶμεν, ,Verb,First,Plural,Aorist,Subjunctive,Active,,,
40.1.1,ἐπ’, ,Adposition,,,,,,,,
40.1.1,αὐτὴν, ,Pronoun,,Singular,,,,Feminine,Accusative,
40.1.1,εἰς, ,Adposition,,,,,,,,
40.1.1,πόλεμον,. ,Noun,,Singular,,,,Masculine,Accusative,
40.1.1,ἰδοὺ, ,Adverb,,,,,,,,
40.1.2,ὀλιγοστὸν, ,Adjective,,Singular,,,,Neuter,Accusative,
40.1.2,δέδωκά, ,Verb,First,Singular,Perfect,Indicative,Active,,,
40.1.2,σε, ,Pronoun,Second,Singular,,,,Masculine,Accusative,
40.1.2,ἐν, ,Adposition,,,,,,,,
40.1.2,τοῖς, ,Article,,Plural,,,,Neuter,Dative,
40.1.2,ἔθνεσιν,", ",Noun,,Plural,,,,Neuter,Dative,
40.1.2,ἠτιμωμένος, ,Verb,,Singular,Perfect,Participle,Medio-passive,Masculine,Nominative,
40.1.2,σὺ, ,Pronoun,Second,Singular,,,,Masculine,Nominative,
40.1.2,εἶ, ,Verb,Second,Singular,Present,Indicative,Active,,,
40.1.2,σφόδρα,· ,Adverb,,,,,,,,
40.1.2,ὑπερηφανία, ,Noun,,Singular,,,,Feminine,Nominative,
40.1.3,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
40.1.3,καρδίας, ,Noun,,Singular,,,,Feminine,Genitive,
40.1.3,σου, ,Pronoun,Second,Singular,,,,Masculine,Genitive,
40.1.3,ἐπῆρέν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
40.1.3,σε, ,Pronoun,Second,Singular,,,,Masculine,Accusative,
40.1.3,κατασκηνοῦντα, ,Verb,,Singular,Future,Participle,Active,Masculine,Accusative,
40.1.3,ἐν, ,Adposition,,,,,,,,
40.1.3,ταῖς, ,Article,,Plural,,,,Feminine,Dative,
40.1.3,ὀπαῖς, ,Noun,,Plural,,,,Feminine,Dative,
40.1.3,τῶν, ,Article,,Plural,,,,Masculine,Genitive,
40.1.3,πετρῶν,· ,Noun,,Plural,,,,Masculine,Genitive,
40.1.3,ὑψῶν, ,Noun,,Plural,,,,Masculine,Genitive,
40.1.3,κατοικίαν, ,Noun,,Singular,,,,Feminine,Accusative,
40.1.3,αὐτοῦ,", ",Pronoun,,Singular,,,,Masculine,Genitive,
40.1.3,λέγων, ,Verb,,Singular,Present,Participle,Active,Masculine,Nominative,
40.1.3,ἐν, ,Adposition,,,,,,,,
40.1.3,καρδίᾳ, ,Noun,,Singular,,,,Feminine,Dative,
40.1.3,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
40.1.3,Τίς, ,Pronoun,,Singular,,,,Masculine,Nominative,
40.1.3,με, ,Pronoun,First,Singular,,,,Masculine,Accusative,
40.1.3,κατάξει, ,Noun,,Singular,,,,Feminine,Dative,
40.1.3,ἐπὶ, ,Adposition,,,,,,,,
40.1.3,τὴν, ,Article,,Singular,,,,Feminine,Accusative,
40.1.3,γῆν,; ,Noun,,Singular,,,,Feminine,Accusative,
40.1.3,ἐὰν, ,Conjunction,,,,,,,,
40.1.4,μετεωρισθῇς, ,Verb,Second,Singular,Aorist,Subjunctive,Passive,,,
40.1.4,ὡς, ,Adverb,,,,,,,,
40.1.4,ἀετός,", ",Noun,,Singular,,,,Masculine,Nominative,
40.1.4,καὶ, ,Conjunction,,,,,,,,
40.1.4,ἐὰν, ,Conjunction,,,,,,,,
40.1.4,ἀνὰ, ,Adposition,,,,,,,,
40.1.4,μέσον, ,Adjective,,Singular,,,,Neuter,Accusative,
40.1.4,τῶν, ,Article,,Plural,,,,Neuter,Genitive,
40.1.4,ἄστρων, ,Noun,,Plural,,,,Neuter,Genitive,
40.1.4,θῇς, ,Verb,Second,Singular,Aorist,Subjunctive,Active,,,
40.1.4,νοσσιάν, ,Noun,,Singular,,,,Feminine,Accusative,
40.1.4,σου,", ",Pronoun,Second,Singular,,,,Masculine,Genitive,
40.1.4,ἐκεῖθεν, ,Adverb,,,,,,,,
40.1.4,κατάξω, ,Verb,First,Singular,Future,Indicative,Active,,,
40.1.4,σε,", ",Pronoun,,Singular,,,,Masculine,Accusative,
40.1.4,λέγει, ,Verb,Third,Singular,Present,Indicative,Active,,,
40.1.4,Κύριος,. ,Noun,,Singular,,,,Masculine,Nominative,
40.1.4,εἰ, ,Conjunction,,,,,,,,
40.1.4,κλέπται, ,Verb,Third,Singular,Present,Indicative,Medio-passive,,,
40.1.5,εἰσῆλθον, ,Verb,Third,Plural,Aorist,Indicative,Active,,,
40.1.5,πρὸς, ,Adposition,,,,,,,,
40.1.5,σὲ, ,Pronoun,Second,Singular,,,,Masculine,Accusative,
40.1.5,ἢ, ,Conjunction,,,,,,,,
40.1.5,λῃσταὶ, ,Noun,,Plural,,,,Masculine,Nominative,
40.1.5,νυκτός,", ",Noun,,Singular,,,,Feminine,Genitive,
40.1.5,ποῦ, ,Adverb,,,,,,,,
40.1.5,ἂν, ,Adverb,,,,,,,,
40.1.5,ἀπερρίφης,; ,Noun,,Singular,,,,Masculine,Nominative,
40.1.5,οὐκ, ,Adverb,,,,,,,,
40.1.5,ἂν, ,Adverb,,,,,,,,
40.1.5,ἔκλεψαν, ,Verb,Third,Plural,Aorist,Indicative,Active,,,
40.1.5,τὰ, ,Article,,Plural,,,,Neuter,Accusative,
40.1.5,ἱκανὰ, ,Adjective,,Plural,,,,Neuter,Accusative,
40.1.5,ἑαυτοῖς,; ,Pronoun,,Plural,,,,Masculine,Dative,
40.1.5,καὶ, ,Adverb,,,,,,,,
40.1.5,εἰ, ,Conjunction,,,,,,,,
40.1.5,τρυγηταὶ, ,Noun,,Plural,,,,Masculine,Nominative,
40.1.5,εἰσῆλθον, ,Verb,Third,Plural,Aorist,Indicative,Active,,,
40.1.5,πρὸς, ,Adposition,,,,,,,,
40.1.5,σέ,", ",Pronoun,Second,Singular,,,,Masculine,Accusative,
40.1.5,οὐκ, ,Adverb,,,,,,,,
40.1.5,ἂν, ,Adverb,,,,,,,,
40.1.5,ὑπελίποντο, ,Verb,Third,Plural,Aorist,Indicative,Middle,,,
40.1.5,ἐπιφυλλίδας,; ,Noun,,Plural,,,,Masculine,Accusative,
40.1.5,πῶς, ,Adverb,,,,,,,,
40.1.5,ἐξηρευνήθη, ,Verb,Third,Singular,Aorist,Indicative,Passive,,,
40.1.6,Ἠσαὺ, ,Adverb,,Singular,,,,,,
40.1.6,καὶ, ,Conjunction,,,,,,,,
40.1.6,κατελήμφθη, ,Verb,Third,Singular,Aorist,Indicative,Passive,,,
40.1.6,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
40.1.6,τὰ, ,Article,,Plural,,,,Neuter,Nominative,
40.1.6,κεκρυμμένα,. ,Verb,,Plural,Perfect,Participle,Medio-passive,Neuter,Nominative,
40.1.6,ἕως, ,Conjunction,,,,,,,,
40.1.6,τῶν, ,Article,,Plural,,,,Neuter,Genitive,
40.1.7,ὁρίων, ,Noun,,Plural,,,,Neuter,Genitive,
40.1.7,ἐξαπέστειλάν, ,Verb,Third,Plural,Aorist,Indicative,Active,,,
40.1.7,σε,· ,Pronoun,Second,Singular,,,,Masculine,Accusative,
