reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
27.1.1,ΜΑΚΑΡΙΟΣ, ,Adjective,,Singular,,,,Masculine,Nominative,
27.1.1,ἀνὴρ, ,Noun,,Singular,,,,Masculine,Nominative,
27.1.1,ὃς, ,Pronoun,,Singular,,,,Masculine,Nominative,
27.1.1,οὐκ, ,Adverb,,,,,,,,
27.1.1,ἐπορεύθη, ,Verb,Third,Singular,Aorist,Indicative,Passive,,,
27.1.1,ἐν, ,Adposition,,,,,,,,
27.1.1,βουλῇ, ,Noun,,Singular,,,,Feminine,Dative,
27.1.1,ἀσεβῶν,", ",Noun,,Singular,,,,Masculine,Nominative,
27.1.1,καὶ, ,Conjunction,,,,,,,,
27.1.1,ἐν, ,Adposition,,,,,,,,
27.1.1,ὁδῷ, ,Noun,,Singular,,,,Feminine,Dative,
27.1.1,ἁμαρτωλῶν, ,Verb,,Singular,,Participle,Active,Masculine,Nominative,
27.1.1,οὐκ, ,Adverb,,,,,,,,
27.1.1,ἔστη,", ",Verb,Third,Singular,Aorist,Indicative,Active,,,
27.1.1,καὶ, ,Conjunction,,,,,,,,
27.1.1,ἐπὶ, ,Adposition,,,,,,,,
27.1.1,καθέδραν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
27.1.1,λοιμῶν, ,Noun,,Plural,,,,Masculine,Genitive,
27.1.1,οὐκ, ,Adverb,,,,,,,,
27.1.1,ἐκάθισεν,· ,Verb,Third,Singular,Aorist,Indicative,Active,,,
27.1.1,ἀλλ’, ,Adverb,,,,,,,,
27.1.2,ἢ, ,Adverb,,,,,,,,
27.1.2,ἐν, ,Adposition,,,,,,,,
27.1.2,τῷ, ,Article,,Singular,,,,Masculine,Dative,
27.1.2,νόμῳ, ,Noun,,Singular,,,,Masculine,Dative,
27.1.2,Κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
27.1.2,τὸ, ,Article,,Singular,,,,Neuter,Accusative,
27.1.2,θέλημα, ,Noun,,Singular,,,,Neuter,Nominative,
27.1.2,αὐτοῦ,", ",Pronoun,,Singular,,,,Masculine,Genitive,
27.1.2,καὶ, ,Conjunction,,,,,,,,
27.1.2,ἐν, ,Adposition,,,,,,,,
27.1.2,τῷ, ,Article,,Singular,,,,Masculine,Dative,
27.1.2,νόμῳ, ,Noun,,Singular,,,,Masculine,Dative,
27.1.2,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
27.1.2,μελετήσει, ,Verb,Third,Singular,Future,Indicative,Active,,,
27.1.2,ἡμέρας, ,Noun,,Singular,,,,Feminine,Genitive,
27.1.2,καὶ, ,Conjunction,,,,,,,,
27.1.2,νυκτός,. ,Noun,,Singular,,,,Feminine,Genitive,
27.1.2,καὶ, ,Adverb,,,,,,,,
27.1.3,ἔσται, ,Verb,Third,Singular,Future,Indicative,Middle,,,
27.1.3,ὡς, ,Conjunction,,,,,,,,
27.1.3,τὸ, ,Article,,Singular,,,,Neuter,Nominative,
27.1.3,ξύλον, ,Noun,,Singular,,,,Neuter,Nominative,
27.1.3,τὸ, ,Article,,Singular,,,,Neuter,Nominative,
27.1.3,πεφυτευμένον, ,Verb,,Singular,Perfect,Participle,Medio-passive,Neuter,Nominative,
27.1.3,παρά, ,Adposition,,,,,,,,
27.1.3,τἀς, ,Adposition,,,,,,,,
27.1.3,διεξόδους, ,Noun,,Plural,,,,Feminine,Accusative,
27.1.3,τῶν, ,Article,,Plural,,,,Neuter,Genitive,
27.1.3,ὑδάτων,", ",Noun,,Plural,,,,Neuter,Genitive,
27.1.3,ὃ, ,Pronoun,,Singular,,,,Neuter,Nominative,
27.1.3,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
27.1.3,καρπὸν, ,Noun,,Singular,,,,Masculine,Accusative,
27.1.3,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
27.1.3,δώσει, ,Verb,Third,Singular,Future,Indicative,Active,,,
27.1.3,ἐν, ,Adposition,,,,,,,,
27.1.3,καιρῷ, ,Noun,,Singular,,,,Masculine,Dative,
27.1.3,αὐτοῦ,", ",Pronoun,,Singular,,,,Masculine,Genitive,
27.1.3,καὶ, ,Conjunction,,,,,,,,
27.1.3,τὸ, ,Article,,Singular,,,,Neuter,Nominative,
27.1.3,φύλλον, ,Noun,,Singular,,,,Neuter,Nominative,
27.1.3,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
27.1.3,οὐκ, ,Adverb,,,,,,,,
27.1.3,ἀπορρυήσεται,· ,Verb,Third,Singular,Future,Indicative,Middle,,,
27.1.3,καὶ, ,Adverb,,,,,,,,
27.1.3,πάντα, ,Adjective,,Plural,,,,Neuter,Nominative,
27.1.3,ὅσα, ,Adjective,,Plural,,,,Neuter,Accusative,
27.1.3,ἂν, ,Adverb,,,,,,,,
27.1.3,ποιῇ, ,Verb,Third,Singular,Present,Subjunctive,Active,,,
27.1.3,κατευοδωθήσεται,. ,Verb,Third,Singular,Future,Indicative,Passive,,,
27.1.3,οὐχ, ,Adverb,,,,,,,,
27.1.4,οὕτως, ,Adverb,,,,,,,,
27.1.4,οἱ, ,Article,,Plural,,,,Masculine,Nominative,
27.1.4,ἀσεβεῖς,", ",Adjective,,Plural,,,,Masculine,Nominative,
27.1.4,οὐχ, ,Adverb,,,,,,,,
27.1.4,οὕτως,", ",Adverb,,,,,,,,
27.1.4,ἀλλ’, ,Conjunction,,,,,,,,
27.1.4,ἢ, ,Adverb,,,,,,,,
27.1.4,ὡς, ,Conjunction,,,,,,,,
27.1.4,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
27.1.4,χνοῦς, ,Noun,,Singular,,,,Masculine,Nominative,
27.1.4,ὃν, ,Pronoun,,Singular,,,,Masculine,Accusative,
27.1.4,ἐκριπτεῖ, ,Verb,Third,Singular,Present,Indicative,Active,,,
27.1.4,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
