reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
36.1.1,ΛΟΓΟΣ, ,Noun,,Singular,,,,Masculine,Nominative,
36.1.1,Κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
36.1.1,ὃς, ,Pronoun,,Singular,,,,Masculine,Nominative,
36.1.1,ἐγενήθη, ,Verb,Third,Singular,Aorist,Indicative,Passive,,,
36.1.1,πρὸς, ,Adposition,,,,,,,,
36.1.1,Ὡσῆε, ,,,Singular,,,,Masculine,Accusative,
36.1.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
36.1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
36.1.1,Βεηρεὶ, ,Adverb,,,,,,,,
36.1.1,ἐν, ,Adposition,,,,,,,,
36.1.1,ἡμέραις, ,Noun,,Plural,,,,Feminine,Dative,
36.1.1,Ὀζείου, ,Noun,,Singular,,,,Masculine,Genitive,
36.1.1,καὶ, ,Adverb,,,,,,,,
36.1.1,Ἰωαθὰμ, ,Noun,,Singular,,,,Masculine,Genitive,
36.1.1,καὶ, ,Adverb,,,,,,,,
36.1.1,Ἀχὰς, ,Noun,,Plural,,,,Feminine,Genitive,
36.1.1,καὶ, ,Conjunction,,,,,,,,
36.1.1,Ἑζεκίου, ,Noun,,Singular,,,,Masculine,Genitive,
36.1.1,βασιλέων, ,Noun,,Plural,,,,Masculine,Genitive,
36.1.1,Ἰούδα, ,Noun,,Singular,,,,Masculine,Accusative,
36.1.1,καὶ, ,Conjunction,,,,,,,,
36.1.1,ἐν, ,Adposition,,,,,,,,
36.1.1,ἡμέραις, ,Noun,,Plural,,,,Feminine,Dative,
36.1.1,Ἰεροβοὰμ, ,Noun,,Singular,,,,Masculine,Accusative,
36.1.1,υἱοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
36.1.1,Ἰωὰς, ,Noun,,Plural,,,,Feminine,Accusative,
36.1.1,βασιλέως, ,Noun,,Singular,,,,Masculine,Genitive,
36.1.1,Ἰσραήλ,. ,Noun,,Singular,,,,Masculine,Genitive,
36.1.1,Ἀρχὴ, ,Noun,,Singular,,,,Feminine,Nominative,
36.1.2,λόγου, ,Noun,,Singular,,,,Masculine,Genitive,
36.1.2,Κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
36.1.2,ἐν, ,Adposition,,,,,,,,
36.1.2,Ὡσῆε,. ,Noun,,Singular,,,,Masculine,Dative,
36.1.2,καὶ, ,Adverb,,,,,,,,
36.1.2,εἶπεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
36.1.2,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
36.1.2,πρὸς, ,Adposition,,,,,,,,
36.1.2,Ὡσηέ, ,Pronoun,,Singular,,,,,Accusative,
36.1.2,Βάδιζε, ,Verb,Second,Singular,Present,Imperative,Active,,,
36.1.2,λάβε, ,Verb,Second,Singular,Aorist,Imperative,Active,,,
36.1.2,σεαυτῷ, ,Pronoun,Second,Singular,,,,Masculine,Dative,
36.1.2,γυναῖκα, ,Noun,,Singular,,,,Feminine,Accusative,
36.1.2,πορνείας, ,Noun,,Singular,,,,Feminine,Genitive,
36.1.2,καὶ, ,Conjunction,,,,,,,,
36.1.2,τέκνα, ,Noun,,Plural,,,,Neuter,Accusative,
36.1.2,πορνείας,", ",Noun,,Singular,,,,Feminine,Genitive,
36.1.2,διότι, ,Conjunction,,,,,,,,
36.1.2,ἐκπορνεύουσα, ,Verb,,Singular,Present,Participle,Active,Feminine,Nominative,
36.1.2,ἐκπορνεύσει, ,Verb,Third,Singular,Future,Indicative,Active,,,
36.1.2,ἡ, ,Article,,Singular,,,,Feminine,Nominative,
36.1.2,γῆ, ,Noun,,Singular,,,,Feminine,Nominative,
36.1.2,ἀπὸ, ,Adposition,,,,,,,,
36.1.2,ὄπισθεν, ,Adverb,,,,,,,,
36.1.2,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
36.1.2,κυρίου,. ,Noun,,Singular,,,,Masculine,Genitive,
36.1.2,καὶ, ,Adverb,,,,,,,,
36.1.3,ἐπορεύθη, ,Verb,Third,Singular,Aorist,Indicative,Passive,,,
36.1.3,καὶ, ,Conjunction,,,,,,,,
36.1.3,ἔλαβεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
36.1.3,τὴν, ,Article,,Singular,,,,Feminine,Accusative,
36.1.3,Γόμερ, ,Noun,,Singular,,,,Feminine,Accusative,
36.1.3,θυγατέρα, ,Noun,,Singular,,,,Feminine,Accusative,
36.1.3,Δεβηλάιμ,", ",Noun,,Singular,,,,Feminine,Accusative,
36.1.3,καὶ, ,Adverb,,,,,,,,
36.1.3,συνέλαβεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
36.1.3,καὶ, ,Conjunction,,,,,,,,
36.1.3,ἔτεκεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
36.1.3,αὐτῷ, ,Pronoun,,Singular,,,,Masculine,Dative,
36.1.3,υἱόν,. ,Noun,,Singular,,,,Masculine,Accusative,
36.1.3,καὶ, ,Adverb,,,,,,,,
36.1.4,εἶπεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
36.1.4,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
36.1.4,πρὸς, ,Adposition,,,,,,,,
36.1.4,αὐτόν, ,Pronoun,,Singular,,,,Masculine,Accusative,
36.1.4,Κάλεσον, ,Verb,Second,Singular,Aorist,Imperative,Active,,,
36.1.4,τὸ, ,Article,,Singular,,,,Neuter,Accusative,
36.1.4,ὄνομα, ,Noun,,Singular,,,,Neuter,Accusative,
36.1.4,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
36.1.4,Ἰεζραέλ,", ",Adjective,,Singular,,,,Neuter,Accusative,
36.1.4,διότι, ,Conjunction,,,,,,,,
36.1.4,ἔτι, ,Adverb,,,,,,,,
36.1.4,μικρὸν, ,Adjective,,Singular,,,,Neuter,Accusative,
36.1.4,καὶ, ,Conjunction,,,,,,,,
36.1.4,ἐκδικήσω, ,Verb,First,Singular,Future,Indicative,Active,,,
36.1.4,τὸ, ,Article,,Singular,,,,Neuter,Accusative,
36.1.4,αἷμα, ,Noun,,Singular,,,,Neuter,Accusative,
36.1.4,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
36.1.4,Ἰεζραὲλ, ,Adjective,,Singular,,,,Neuter,Accusative,
36.1.4,ἐπὶ, ,Adposition,,,,,,,,
36.1.4,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
