reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
58.1.1,Ἐκ, ,Adposition,,,,,,,,
58.1.1,προφητείας, ,Noun,,Singular,,,,Feminine,Genitive,
58.1.1,Ἁμβακοὺμ, ,Adjective,,Singular,,,,Masculine,Accusative,
58.1.1,υἱοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
58.1.1,Ἰησοῦ,", ",Noun,,Singular,,,,Masculine,Genitive,
58.1.1,ἐκ, ,Adposition,,,,,,,,
58.1.1,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
58.1.1,φυλῆς, ,Noun,,Singular,,,,Feminine,Genitive,
58.1.1,Λευί,. ,Noun,,Singular,,,,Feminine,Nominative,
58.1.1,Ἄνθρωπός, ,Noun,,Singular,,,,Masculine,Nominative,
58.1.2,τις, ,Adjective,,Singular,,,,Masculine,Nominative,
58.1.2,ἦν, ,Verb,Third,Singular,Imperfect,Indicative,Active,,,
58.1.2,ἱερεύς,", ",Noun,,Singular,,,,Masculine,Nominative,
58.1.2,ᾧ, ,Pronoun,,Singular,,,,Masculine,Dative,
58.1.2,ὄνομα, ,Noun,,Singular,,,,Neuter,Nominative,
58.1.2,Δανιήλ,", ",Noun,,Singular,,,,Masculine,Nominative,
58.1.2,υἱὸς, ,Noun,,Singular,,,,Masculine,Nominative,
58.1.2,Ἁβάλ,", ",Adjective,,Singular,,,,Masculine,Nominative,
58.1.2,συμβιωτὴς, ,Noun,,Singular,,,,Masculine,Nominative,
58.1.2,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
58.1.2,βασιλέως, ,Noun,,Singular,,,,Masculine,Genitive,
58.1.2,Βαβυλῶνος,. ,Noun,,Singular,,,,Feminine,Genitive,
58.1.2,καὶ, ,Adverb,,,,,,,,
58.1.3,ἦν, ,Verb,Third,Singular,Imperfect,Indicative,Active,,,
58.1.3,εἴδωλον,", ",Noun,,Singular,,,,Neuter,Nominative,
58.1.3,Βήλ,", ",Noun,,Singular,,,,Masculine,Nominative,
58.1.3,ὃ, ,Pronoun,,Singular,,,,Neuter,Accusative,
58.1.3,ἐσέβοντο, ,Verb,Third,Plural,Aorist,Indicative,Middle,,,
58.1.3,οἱ, ,Article,,Plural,,,,Masculine,Nominative,
58.1.3,Βαβυλώνιοι,· ,Noun,,Plural,,,,Masculine,Nominative,
58.1.3,ἀνηλίσκετο, ,Verb,Third,Singular,Imperfect,Indicative,Medio-passive,,,
58.1.3,δὲ, ,Adverb,,,,,,,,
58.1.3,αὐτῷ, ,Pronoun,,Singular,,,,Masculine,Dative,
58.1.3,καθ’, ,Adposition,,,,,,,,
58.1.3,ἑκάστην, ,Adjective,,Singular,,,,Feminine,Accusative,
58.1.3,ἡμέραν, ,Noun,,Singular,,,,Feminine,Accusative,
58.1.3,σεμιδάλεως, ,Noun,,Singular,,,,Feminine,Genitive,
58.1.3,ἀρτάβαι, ,Noun,,Plural,,,,Feminine,Nominative,
58.1.3,δέκα, ,Adjective,,,,,,,,
58.1.3,δύο, ,Adjective,,,,,,,,
58.1.3,καὶ, ,Conjunction,,,,,,,,
58.1.3,πρόβατα, ,Noun,,Plural,,,,Neuter,Nominative,
58.1.3,τέσσαρα, ,Noun,,Plural,,,,Neuter,Nominative,
58.1.3,καὶ, ,Conjunction,,,,,,,,
58.1.3,ἐλαίου, ,Noun,,Singular,,,,Neuter,Genitive,
58.1.3,μετρηταὶ, ,Noun,,Plural,,,,Masculine,Nominative,
58.1.3,ἕξ,. ,Adjective,,,,,,,,
58.1.3,καὶ, ,Adverb,,,,,,,,
