reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
47.1.1,ΛΗΜΜΑ, ,Noun,,Singular,,,,Neuter,Accusative,
47.1.1,λόγου, ,Noun,,Singular,,,,Masculine,Genitive,
47.1.1,Κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
47.1.1,ἐπὶ, ,Adposition,,,,,,,,
47.1.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
47.1.1,Ἰσραὴλ, ,Noun,,Singular,,,,Masculine,Accusative,
47.1.1,ἐν, ,Adposition,,,,,,,,
47.1.1,χειρὶ, ,Noun,,Singular,,,,Feminine,Dative,
47.1.1,ἀγγέλου, ,Noun,,Singular,,,,Masculine,Genitive,
47.1.1,αὐτοῦ,· ,Pronoun,,Singular,,,,Masculine,Genitive,
47.1.1,θέσθε, ,Verb,Second,Plural,Aorist,Imperative,Middle,,,
47.1.1,δὴ, ,Adverb,,,,,,,,
47.1.1,ἐπὶ, ,Adposition,,,,,,,,
47.1.1,τὰς, ,Article,,Plural,,,,Feminine,Accusative,
47.1.1,καρδίας, ,Noun,,Plural,,,,Feminine,Accusative,
47.1.1,ὑμῶν,. ,Pronoun,Second,Plural,,,,Masculine,Genitive,
47.1.1,Ἠγάπησα, ,Verb,First,Singular,Aorist,Indicative,Active,,,
47.1.2,ὑμᾶς,", ",Pronoun,Second,Plural,,,,Masculine,Accusative,
47.1.2,λέγει, ,Verb,Third,Singular,Present,Indicative,Active,,,
47.1.2,Κύριος,· ,Noun,,Singular,,,,Masculine,Nominative,
47.1.2,καὶ, ,Adverb,,,,,,,,
47.1.2,εἴπατε, ,Verb,Second,Plural,Aorist,Imperative,Active,,,
47.1.2,Ἐν, ,Adposition,,,,,,,,
47.1.2,τίνι, ,Pronoun,,Singular,,,,Masculine,Dative,
47.1.2,ἠγάπησας, ,Verb,Second,Singular,Aorist,Indicative,Active,,,
47.1.2,ἡμᾶς,; ,Pronoun,First,Plural,,,,Masculine,Accusative,
47.1.2,οὐκ, ,Adverb,,,,,,,,
47.1.2,ἀδελφὸς, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.2,ἦν, ,Verb,Third,Singular,Imperfect,Indicative,Active,,,
47.1.2,Ἠσαὺ, ,Interjection,,Singular,,,,,,
47.1.2,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
47.1.2,Ἰακώβ,; ,Noun,,Singular,,,,Masculine,Nominative,
47.1.2,λέγει, ,Verb,Third,Singular,Present,Indicative,Active,,,
47.1.2,Κύριος,· ,Noun,,Singular,,,,Masculine,Nominative,
47.1.2,καὶ, ,Adverb,,,,,,,,
47.1.2,ἠγάπησα, ,Verb,First,Singular,Aorist,Indicative,Active,,,
47.1.2,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
47.1.2,Ἰακώβ,", ",Noun,,Singular,,,,Masculine,Accusative,
47.1.2,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
47.1.3,δὲ, ,Conjunction,,,,,,,,
47.1.3,Ἠσαὺ, ,Noun,,Singular,,,,,Accusative,
47.1.3,ἐμίσησα,", ",Verb,First,Singular,Aorist,Indicative,Active,,,
47.1.3,καὶ, ,Conjunction,,,,,,,,
47.1.3,ἔταξα, ,Verb,First,Singular,Aorist,Indicative,Active,,,
47.1.3,τὰ, ,Article,,Plural,,,,Neuter,Accusative,
47.1.3,ὅρια, ,Noun,,Plural,,,,Neuter,Accusative,
47.1.3,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
47.1.3,εἰς, ,Adposition,,,,,,,,
47.1.3,ἀφανισμὸν, ,Noun,,Singular,,,,Masculine,Accusative,
47.1.3,καὶ, ,Conjunction,,,,,,,,
47.1.3,τὴν, ,Article,,Singular,,,,Feminine,Accusative,
47.1.3,κληρονομίαν, ,Noun,,Singular,,,,Feminine,Accusative,
47.1.3,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
47.1.3,εἰς, ,Adposition,,,,,,,,
47.1.3,δόματα, ,Noun,,Plural,,,,Neuter,Accusative,
47.1.3,ἐρήμου,. ,Noun,,Singular,,,,Feminine,Genitive,
47.1.3,διότι, ,Conjunction,,,,,,,,
47.1.4,ἐρεῖ, ,Verb,Third,Singular,Future,Indicative,Active,,,
47.1.4,Ἡ, ,Article,,Singular,,,,Feminine,Nominative,
47.1.4,Ἰδουμαία, ,Noun,,Singular,,,,Feminine,Nominative,
47.1.4,κατέστραπται,", ",Verb,Third,Singular,Perfect,Indicative,Medio-passive,,,
47.1.4,καὶ, ,Adverb,,,,,,,,
47.1.4,ἐπιστρέψωμεν, ,Verb,First,Plural,Aorist,Subjunctive,Active,,,
47.1.4,καὶ, ,Conjunction,,,,,,,,
47.1.4,ἀνοικοδομήσωμεν, ,Verb,First,Plural,Aorist,Subjunctive,Active,,,
47.1.4,τὰς, ,Article,,Plural,,,,Feminine,Accusative,
47.1.4,ἐρήμους,. ,Adjective,,Plural,,,,Feminine,Accusative,
47.1.4,τάδε, ,Pronoun,,Plural,,,,Neuter,Accusative,
47.1.4,λέγει, ,Verb,Third,Singular,Present,Indicative,Active,,,
47.1.4,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.4,Παντοκράτωρ, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.4,Αὐτοὶ, ,Pronoun,,Plural,,,,Masculine,Nominative,
47.1.4,οἰκοδομήσουσιν, ,Verb,Third,Plural,Future,Indicative,Active,,,
47.1.4,καὶ, ,Conjunction,,,,,,,,
47.1.4,ἐγὼ, ,Pronoun,First,Singular,,,,Masculine,Nominative,
47.1.4,καταστρέψω,· ,Verb,First,Singular,Future,Indicative,Active,,,
47.1.4,καὶ, ,Adverb,,,,,,,,
47.1.4,ἐπικληθήσεται, ,Verb,Third,Singular,Future,Indicative,Passive,,,
47.1.4,αὐτοῖς, ,Pronoun,,Plural,,,,Masculine,Dative,
47.1.4,ὅρια, ,Noun,,Plural,,,,Neuter,Nominative,
47.1.4,ἀνομίας,", ",Noun,,Singular,,,,Feminine,Genitive,
47.1.4,καὶ, ,Conjunction,,,,,,,,
47.1.4,λαὸς, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.4,ἐφ’, ,Adposition,,,,,,,,
47.1.4,ὃν, ,Pronoun,,Singular,,,,Masculine,Accusative,
47.1.4,παρατέτακται, ,Verb,Third,Singular,Perfect,Indicative,Medio-passive,,,
47.1.4,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.4,ἕως, ,Conjunction,,,,,,,,
47.1.4,αἰῶνος,. ,Noun,,Singular,,,,Masculine,Genitive,
47.1.4,καὶ, ,Adverb,,,,,,,,
47.1.4,ὀφθαλμοὶ, ,Noun,,Plural,,,,Masculine,Nominative,
47.1.5,ὑμῶν, ,Pronoun,Second,Plural,,,,Masculine,Genitive,
47.1.5,ὄψονται,", ",Verb,Third,Plural,Future,Indicative,Middle,,,
47.1.5,καὶ, ,Conjunction,,,,,,,,
47.1.5,ὑμεῖς, ,Pronoun,Second,Plural,,,,Masculine,Nominative,
47.1.5,ἐρεῖτε, ,Verb,Second,Plural,Future,Indicative,Active,,,
47.1.5,Ἐμεγαλύνθη, ,Verb,Third,Singular,Aorist,Indicative,Passive,,,
47.1.5,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.5,ὑπεράνω, ,Verb,First,Singular,,,,,,
47.1.5,τῶν, ,Article,,Plural,,,,Masculine,Genitive,
47.1.5,ὁρίων, ,Noun,,Plural,,,,Masculine,Genitive,
47.1.5,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
47.1.5,Ἰσραήλ,. ,Noun,,Singular,,,,Masculine,Genitive,
47.1.5,Υἱὸς, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.5,δοξάζει, ,Verb,Third,Singular,Present,Indicative,Active,,,
47.1.6,πατέρα,", ",Noun,,Singular,,,,Masculine,Accusative,
47.1.6,καὶ, ,Conjunction,,,,,,,,
47.1.6,δοῦλος, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.6,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
47.1.6,κύριον, ,Noun,,Singular,,,,Masculine,Accusative,
47.1.6,αὐτοῦ,. ,Pronoun,,Singular,,,,Masculine,Genitive,
47.1.6,καὶ, ,Adverb,,,,,,,,
47.1.6,εἰ, ,Conjunction,,,,,,,,
47.1.6,πατήρ, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.6,εἰμι, ,Verb,First,Singular,Present,Indicative,Active,,,
47.1.6,ἐγώ,", ",Pronoun,First,Singular,,,,Masculine,Nominative,
47.1.6,ποῦ, ,Adverb,,,,,,,,
47.1.6,ἐστιν, ,Verb,Third,Singular,Present,Indicative,Active,,,
47.1.6,ἡ, ,Article,,Singular,,,,Feminine,Nominative,
47.1.6,δόξα, ,Noun,,Singular,,,,Feminine,Nominative,
47.1.6,μου,; ,Pronoun,,Singular,,,,Feminine,Genitive,
47.1.6,καὶ, ,Adverb,,,,,,,,
47.1.6,εἰ, ,Conjunction,,,,,,,,
47.1.6,κύριός, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.6,εἰμι, ,Verb,First,Singular,Present,Indicative,Active,,,
47.1.6,ἐγώ,", ",Pronoun,First,Singular,,,,Masculine,Nominative,
47.1.6,ποῦ, ,Adverb,,,,,,,,
47.1.6,ἐστιν, ,Verb,Third,Singular,Present,Indicative,Active,,,
47.1.6,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
47.1.6,φόβος, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.6,μου,; ,Pronoun,First,Singular,,,,Masculine,Genitive,
47.1.6,λέγει, ,Verb,Third,Singular,Present,Indicative,Active,,,
47.1.6,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.6,Παντοκράτωρ,. ,Noun,,Singular,,,,Masculine,Nominative,
47.1.6,ὑμεῖς, ,Pronoun,,Plural,,,,Masculine,Nominative,
47.1.6,οἱ, ,Article,,Plural,,,,Masculine,Nominative,
47.1.6,ἱερεῖς, ,Noun,,Plural,,,,Masculine,Nominative,
47.1.6,οἱ, ,Article,,Plural,,,,Masculine,Nominative,
47.1.6,φαυλίζοντες, ,Verb,,Plural,Present,Participle,Active,Masculine,Nominative,
47.1.6,τὸ, ,Article,,Singular,,,,Neuter,Accusative,
47.1.6,ὄνομά, ,Noun,,Singular,,,,Neuter,Accusative,
47.1.6,μου,", ",Pronoun,First,Singular,,,,Masculine,Genitive,
47.1.6,καὶ, ,Conjunction,,,,,,,,
47.1.6,εἴπατε, ,Verb,Second,Plural,Aorist,Imperative,Active,,,
47.1.6,Ἐν, ,Adposition,,,,,,,,
47.1.6,τίνι, ,Pronoun,,Singular,,,,Neuter,Dative,
47.1.6,ἐφαυλίσαμεν, ,Verb,First,Plural,Aorist,Indicative,Active,,,
47.1.6,τὸ, ,Article,,Singular,,,,Neuter,Accusative,
47.1.6,ὄνομά, ,Noun,,Singular,,,,Neuter,Accusative,
47.1.6,σου,; ,Pronoun,Second,Singular,,,,Masculine,Genitive,
47.1.6,προσάγοντες, ,Verb,,Plural,Present,Participle,Active,Masculine,Nominative,
47.1.7,πρὸς, ,Adposition,,,,,,,,
47.1.7,τὸ, ,Article,,Singular,,,,Neuter,Accusative,
47.1.7,θυσιαστήριόν, ,Noun,,Singular,,,,Neuter,Accusative,
47.1.7,μου, ,Pronoun,First,Singular,,,,Masculine,Genitive,
47.1.7,ἄρτους, ,Noun,,Plural,,,,Masculine,Accusative,
47.1.7,ἠλισγημένους,. ,Verb,,Plural,Perfect,Participle,Medio-passive,Masculine,Accusative,
47.1.7,καὶ, ,Adverb,,,,,,,,
47.1.7,εἴπατε, ,Verb,Second,Plural,Aorist,Imperative,Active,,,
47.1.7,Ἐν, ,Adposition,,,,,,,,
47.1.7,τίνι, ,Pronoun,,Singular,,,,Masculine,Dative,
47.1.7,ἠλισγήσαμεν, ,Verb,First,Plural,Aorist,Indicative,Active,,,
47.1.7,αὐτούς,; ,Pronoun,,Plural,,,,Masculine,Accusative,
47.1.7,ἐν, ,Adposition,,,,,,,,
47.1.7,τῷ, ,Article,,Singular,,,,Neuter,Dative,
47.1.7,λέγειν, ,Verb,,,Present,Infinitive,Active,,,
47.1.7,ὑμᾶς, ,Pronoun,Second,Plural,,,,Masculine,Accusative,
47.1.7,Τράπεζα, ,Noun,,Singular,,,,Feminine,Nominative,
47.1.7,Κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
47.1.7,ἠλισγημένη, ,Verb,,Singular,Perfect,Participle,Medio-passive,Feminine,Nominative,
47.1.7,ἐστίν,", ",Verb,Third,Singular,Present,Indicative,Active,,,
47.1.7,καὶ, ,Conjunction,,,,,,,,
47.1.7,τὰ, ,Article,,Plural,,,,Neuter,Accusative,
47.1.7,ἐπιτιθέμενα, ,Verb,,Plural,Present,Participle,Medio-passive,Neuter,Accusative,
47.1.7,ἐξουδενώσατε,. ,Verb,Second,Plural,Aorist,Indicative,Active,,,
47.1.7,διότι, ,Conjunction,,,,,,,,
47.1.7,ἐὰν, ,Conjunction,,,,,,,,
47.1.8,προσαγάγητε, ,Verb,Second,Plural,Aorist,Subjunctive,Active,,,
47.1.8,τυφλὸν, ,Adjective,,Singular,,,,Masculine,Accusative,
47.1.8,εἰς, ,Adposition,,,,,,,,
47.1.8,θυσίαν,", ",Noun,,Singular,,,,Feminine,Accusative,
47.1.8,οὐ, ,Adverb,,,,,,,,
47.1.8,κακόν,; ,Adjective,,Singular,,,,Neuter,Accusative,
47.1.8,καὶ, ,Adverb,,,,,,,,
47.1.8,ἐὰν, ,Conjunction,,,,,,,,
47.1.8,προσαγάγητε, ,Verb,Second,Plural,Aorist,Subjunctive,Active,,,
47.1.8,χωλὸν, ,Adjective,,Singular,,,,Neuter,Accusative,
47.1.8,ἤ, ,Conjunction,,,,,,,,
47.1.8,ἄρρωστον,", ",Adjective,,Singular,,,,Neuter,Accusative,
47.1.8,οὐ, ,Adverb,,,,,,,,
47.1.8,κακόν,; ,Adjective,,Singular,,,,Neuter,Accusative,
47.1.8,προσάγαγε, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
47.1.8,δὴ, ,Adverb,,,,,,,,
47.1.8,αὐτὸ, ,Pronoun,,Singular,,,,Neuter,Accusative,
47.1.8,τῷ, ,Article,,Singular,,,,Masculine,Dative,
47.1.8,ἡγουμένῳ, ,Verb,,Singular,Present,Participle,Medio-passive,Masculine,Dative,
47.1.8,σου,", ",Pronoun,Second,Singular,,,,Masculine,Genitive,
47.1.8,εἰ, ,Conjunction,,,,,,,,
47.1.8,προσδέξεταί, ,Verb,Third,Singular,Future,Indicative,Middle,,,
47.1.8,σε,", ",Pronoun,Second,Singular,,,,Masculine,Accusative,
47.1.8,εἰ, ,Conjunction,,,,,,,,
47.1.8,λήμψεται, ,Verb,Third,Singular,Future,Indicative,Middle,,,
47.1.8,πρόσωπόν, ,Noun,,Singular,,,,Neuter,Accusative,
47.1.8,σου,", ",Pronoun,Second,Singular,,,,Masculine,Genitive,
47.1.8,λέγει, ,Verb,Third,Singular,Present,Indicative,Active,,,
47.1.8,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.8,Παντοκράτωρ,. ,Noun,,Singular,,,,Masculine,Nominative,
47.1.8,καὶ, ,Adverb,,,,,,,,
47.1.8,νῦν, ,Adverb,,,,,,,,
47.1.8,ἐξιλάσκεσθε, ,Verb,Second,Plural,Present,Imperative,Medio-passive,,,
47.1.9,τὸ, ,Article,,Singular,,,,Neuter,Accusative,
47.1.9,πρόσωπον, ,Noun,,Singular,,,,Neuter,Accusative,
47.1.9,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
47.1.9,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
47.1.9,ὑμῶν, ,Pronoun,Second,Plural,,,,Masculine,Genitive,
47.1.9,καὶ, ,Conjunction,,,,,,,,
47.1.9,δεήθητε, ,Verb,Second,Plural,Aorist,Subjunctive,Passive,,,
47.1.9,αὐτοῦ,· ,Pronoun,,Singular,,,,Masculine,Genitive,
47.1.9,ἐν, ,Adposition,,,,,,,,
47.1.9,χερσὶν, ,Noun,,Plural,,,,Feminine,Dative,
47.1.9,ὑμῶν, ,Pronoun,Second,Plural,,,,Masculine,Genitive,
47.1.9,γέγονεν, ,Verb,Third,Singular,Perfect,Indicative,Active,,,
47.1.9,ταῦτα,· ,Pronoun,,Plural,,,,Neuter,Nominative,
47.1.9,εἰ, ,Conjunction,,,,,,,,
47.1.9,λήμψομαι, ,Verb,First,Singular,Future,Indicative,Middle,,,
47.1.9,ἐξ, ,Adposition,,,,,,,,
47.1.9,ὑμῶν, ,Pronoun,Second,Plural,,,,Masculine,Genitive,
47.1.9,πρόσωπα, ,Noun,,Plural,,,,Neuter,Accusative,
47.1.9,ὑμῶν,; ,Pronoun,Second,Plural,,,,Masculine,Genitive,
47.1.9,λέγει, ,Verb,Third,Singular,Present,Indicative,Active,,,
47.1.9,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.9,Παντοκράτωρ,. ,Noun,,Singular,,,,Masculine,Nominative,
47.1.9,διότι, ,Conjunction,,,,,,,,
47.1.9,καὶ, ,Adverb,,,,,,,,
47.1.9,ἐν, ,Adposition,,,,,,,,
47.1.10,ὑμῖν, ,Pronoun,Second,Plural,,,,Masculine,Dative,
47.1.10,συνκλεισθήσονται, ,Verb,Third,Plural,Future,Indicative,Passive,,,
47.1.10,θύραι,", ",Noun,,Plural,,,,Feminine,Nominative,
47.1.10,καὶ, ,Conjunction,,,,,,,,
47.1.10,οὐκ, ,Adverb,,,,,,,,
47.1.10,ἀνάψεται, ,Verb,Third,Singular,Future,Indicative,Middle,,,
47.1.10,τὸ, ,Article,,Singular,,,,Neuter,Nominative,
47.1.10,θυσιαστήριόν, ,Noun,,Singular,,,,Neuter,Nominative,
47.1.10,μου, ,Pronoun,First,Singular,,,,Masculine,Genitive,
47.1.10,δωρεάν,· ,Noun,,Singular,,,,Feminine,Accusative,
47.1.10,οὐκ, ,Adverb,,,,,,,,
47.1.10,ἔστιν, ,Verb,Third,Singular,Present,Indicative,Active,,,
47.1.10,μου, ,Pronoun,First,Singular,,,,Masculine,Genitive,
47.1.10,θέλημα, ,Noun,,Singular,,,,Neuter,Nominative,
47.1.10,ἐν, ,Adposition,,,,,,,,
47.1.10,ὑμῖν,", ",Pronoun,Second,Plural,,,,Masculine,Dative,
47.1.10,λέγει, ,Verb,Third,Singular,Present,Indicative,Active,,,
47.1.10,Κύριος, ,Noun,,Singular,,,,Masculine,Nominative,
47.1.10,Παντοκράτωρ,", ",Noun,,Singular,,,,Masculine,Nominative,
47.1.10,καὶ, ,Conjunction,,,,,,,,
47.1.10,θυσίαν, ,Noun,,Singular,,,,Feminine,Accusative,
47.1.10,οὐ, ,Adverb,,,,,,,,
47.1.10,προσδέξομαι, ,Verb,First,Singular,Future,Indicative,Middle,,,
47.1.10,ἐκ, ,Adposition,,,,,,,,
47.1.10,τῶν, ,Article,,Plural,,,,Feminine,Genitive,
47.1.10,χειρῶν, ,Noun,,Plural,,,,Feminine,Genitive,
47.1.10,ὑμῶν,. ,Pronoun,,Plural,,,,Masculine,Genitive,
47.1.10,διότι, ,Conjunction,,,,,,,,
47.1.10,ἀπ’, ,Adposition,,,,,,,,
47.1.10,ἀνατολῶν, ,Verb,,Singular,,Participle,,Masculine,Genitive,
47.1.11,ἡλίου, ,Noun,,Singular,,,,Masculine,Genitive,
47.1.11,καὶ, ,Conjunction,,,,,,,,
47.1.11,ἕως, ,Conjunction,,,,,,,,
47.1.11,δυσμῶν, ,Noun,,Plural,,,,Masculine,Genitive,
47.1.11,τὸ, ,Article,,Singular,,,,Neuter,Nominative,
47.1.11,ὄνομά, ,Noun,,Singular,,,,Neuter,Nominative,
47.1.11,μου, ,Pronoun,First,Singular,,,,Masculine,Genitive,
